activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,loan_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,co_applicant_race_1,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,denial_reason_1,denial_reason_2,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,debt_to_income_ratio_parsed,applicant_age_num,rate_spread_missing_flag,approved_flag
2024,WWB2V0FCW3A0EE3ZJN75,15380,NY,36029,36029014804,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,105000,36.14,9.09,0.87,3,360,1.0,2,2,2,2,655000.0,1,1,3,5,1,62.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,3995,6.18,96900,103.0,1390,1738,42,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,15540,VT,50007,50007002103,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,1,2,1,2,75000,20.83,9.09,0.87,3,360,1.0,2,2,2,2,365000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,1,4,5.0,8.0,1,4,2,5,1,4,45-54,__MISSING__,No,__MISSING__,1,1,6,3,3.0,4156,8.13,118900,101.0,1499,1593,43,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35614,NY,36119,36119008302,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,1,2,355000,26.92,9.09,0.87,3,360,1.0,2,2,2,2,1305000.0,1,1,3,5,1,55.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,>74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,7101,19.31,101900,243.0,2126,2487,48,41.0,80.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120073000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,75000,55.49,9.09,0.87,3,360,1.0,2,2,2,2,505000.0,1,1,3,5,1,145.0,37,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,3,3.0,1998,85.39,146500,89.0,487,677,67,37.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24510,24510271801,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,3,0,2,1,2,2,2,1,2,55000,59.66,9.09,0.87,3,360,1.0,2,2,2,2,125000.0,1,1,3,5,1,18.0,>60%,12,10,2.0,5.0,2,4,6.0,8.0,2,4,2,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,2654,98.08,122200,54.0,623,1143,72,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35614,NY,36087,36087010501,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,2,2,1,2,105000,71.65,10.09,1.81,2,360,1.0,2,1,2,2,235000.0,1,1,3,5,1,99.0,30%-<36%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5291,46.23,101900,162.0,1302,1425,46,33.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,28880,NY,36071,36071001100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,2 or more minority races,Male,3,0,2,1,2,2,2,1,2,55000,85.92,9.09,0.87,3,360,1.0,2,2,2,2,355000.0,1,1,3,5,1,129.0,43,12,10,1.0,5.0,2,4,44.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,4,3.0,4775,76.94,114800,66.0,665,1542,70,43.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,49620,PA,42133,42133020710,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,125000,52.08,9.09,0.87,3,360,1.0,2,2,2,2,245000.0,1,1,3,5,1,99.0,__MISSING__,9,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,3,3.0,6884,16.94,105100,101.0,2229,2826,36,41.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24035,24035810400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,55000,58.38,9.09,0.87,3,360,1.0,2,2,2,2,445000.0,1,1,3,5,1,70.0,50%-60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,45-54,45-54,No,No,1,1,6,1,3.0,6418,15.16,122200,116.0,1734,2332,30,55.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,15380,NY,36029,36029014209,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,105000,64.59,9.89,1.72,2,360,1.0,2,1,2,2,265000.0,1,1,3,5,1,132.0,38,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,55-64,55-64,No,No,1,1,6,10,3.0,3921,5.71,96900,113.0,1554,1891,44,38.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,15540,VT,50011,50011011000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,45000,69.64,11.54,3.26,2,360,1.0,2,1,2,2,375000.0,1,1,3,5,1,80.0,30%-<36%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,6360,8.55,118900,97.0,1962,2452,30,33.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,15764,MA,25017,25017374400,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,3,0,2,1,4,2,2,1,2,905000,83.34,9.09,0.87,3,360,1.0,2,2,2,2,1875000.0,1,1,3,5,1,297.0,>60%,12,12,2.0,2.0,2,2,5.0,22.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,1,4.0,5955,26.13,146600,206.0,1548,1669,75,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35084,NJ,34027,34027040900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,105000,22.46,9.34,1.23,2,360,1.0,2,1,2,2,555000.0,1,1,3,5,1,112.0,20%-<30%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,4380,17.21,133300,156.0,1304,1402,43,25.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,40380,NY,36073,36073040702,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,25000,40.09,12.24,3.99,2,360,1.0,2,1,2,2,215000.0,1,1,3,5,1,33.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,3192,22.12,98700,84.0,1036,1557,0,55.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,10900,PA,42095,42095017901,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,155000,82.98,9.09,0.87,3,360,1.0,2,2,2,2,405000.0,1,1,3,5,1,179.0,43,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,55-64,55-64,Yes,Yes,1,1,6,3,3.0,3920,15.89,101400,92.0,790,1294,71,43.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,MD,24041,24041960700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,4,1,2,1,2,305000,17.65,9.09,0.87,3,360,1.0,2,2,2,2,1705000.0,1,1,3,5,1,44.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,3443,15.57,87900,130.0,1520,2431,40,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24005,24005402303,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,2,2,2,1,2,55000,82.33,9.09,0.87,3,360,1.0,2,2,2,2,335000.0,1,1,3,5,1,54.0,>60%,12,10,3.0,5.0,2,4,6.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,1,3.0,6849,94.61,122200,75.0,1678,1936,53,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,40140,CA,6065,6065042711,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Free Form Text Only,Race Not Available,Female,3,0,2,1,4,2,2,1,2,15000,78.52,9.09,0.87,3,360,1.0,2,2,2,2,365000.0,1,1,3,5,1,99.0,__MISSING__,9,10,2.0,5.0,2,4,6.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,Yes,__MISSING__,1,1,6,9,3.0,5114,36.45,97500,59.0,1552,2448,52,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,DE,10005,10005051309,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,105000,40.92,8.94,0.83,2,360,1.0,2,1,2,2,705000.0,1,1,3,5,1,99.0,41,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,55-64,55-64,No,No,1,1,6,10,3.0,1488,6.45,106000,120.0,612,2354,23,41.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,23224,MD,24031,24031703215,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,3,0,2,1,31,2,2,1,2,45000,51.22,9.09,0.87,3,360,1.0,2,2,2,2,685000.0,1,1,3,5,1,27.0,>60%,12,10,1.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,3,1.0,3357,78.02,155800,65.0,500,577,45,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,29484,NJ,34029,34029722600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,1,2,105000,84.29,9.09,0.87,3,360,1.0,2,2,2,2,395000.0,1,1,3,5,1,114.0,>60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,3,1.0,3047,16.41,135900,107.0,1094,1315,46,41.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,DE,10005,10005051310,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,2,2,1,2,55000,26.02,10.34,2.06,2,360,1.0,2,1,2,2,465000.0,1,1,3,5,1,56.0,37,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,1933,6.73,106000,137.0,727,1233,14,37.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,44140,MA,25013,25013813301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,75000,14.99,10.49,2.21,2,360,1.0,2,1,2,2,465000.0,1,1,3,5,1,187.0,<20%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,10,3.0,7273,14.63,89100,193.0,2379,2640,0,41.0,80.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24027,24027603001,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,405000,73.47,9.89,1.64,2,360,1.0,2,1,2,2,735000.0,1,1,3,5,1,182.0,45,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,6883,49.15,122200,142.0,1889,1949,16,45.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,48864,MD,24015,24015030501,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,65000,28.24,9.09,0.87,3,360,1.0,2,2,2,2,435000.0,1,1,3,5,1,124.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,4282,12.47,111300,108.0,1221,1481,36,41.0,70.0,1,0
